x,N1,N3,N5,N7,DO
0,5.3111,4.6876,4.6133,4.5782,4.537
0.010101,5.2879,4.6757,4.6097,4.5802,4.5371
0.020202,5.2647,4.6637,4.6061,4.5821,4.5371
0.030303,5.2414,4.6516,4.602,4.5833,4.5533
0.040404,5.2182,4.6391,4.5971,4.5831,4.5533
0.050505,5.195,4.6265,4.5918,4.5824,4.5557
0.060606,5.1718,4.6135,4.586,4.5809,4.5557
0.070707,5.1486,4.6004,4.5797,4.5787,4.5549
0.080808,5.1254,4.5872,4.5733,4.5762,4.5549
0.090909,5.1022,4.5735,4.566,4.5724,4.5585
0.10101,5.079,4.5598,4.5583,4.568,4.5537
0.11111,5.0558,4.5456,4.5499,4.5625,4.5536
0.12121,5.0326,4.5314,4.5412,4.5566,4.5536
0.13131,5.0094,4.517,4.5323,4.5503,4.5423
0.14141,4.9862,4.5022,4.5224,4.5425,4.5393
0.15152,4.963,4.4874,4.5125,4.5347,4.5305
0.16162,4.9398,4.4722,4.5019,4.5261,4.5139
0.17172,4.9167,4.4569,4.4912,4.5172,4.5139
0.18182,4.8935,4.4416,4.4802,4.5081,4.4934
0.19192,4.8703,4.4258,4.4685,4.4979,4.4934
0.20202,4.8471,4.41,4.4566,4.4874,4.4763
0.21212,4.824,4.3939,4.4441,4.476,4.4763
0.22222,4.8008,4.3776,4.4314,4.4645,4.4408
0.23232,4.7777,4.3611,4.4182,4.4523,4.4408
0.24242,4.7545,4.3446,4.405,4.44,4.425
0.25253,4.7314,4.3277,4.391,4.4268,4.425
0.26263,4.7082,4.3107,4.3769,4.4134,4.4083
0.27273,4.6851,4.2935,4.3623,4.3994,4.3892
0.28283,4.6619,4.2761,4.3475,4.3852,4.3892
0.29293,4.6388,4.2586,4.3324,4.3705,4.351
0.30303,4.6157,4.2409,4.317,4.3556,4.351
0.31313,4.5925,4.223,4.3012,4.3401,4.3352
0.32323,4.5694,4.205,4.2853,4.3245,4.3213
0.33333,4.5463,4.1866,4.2688,4.3082,4.2909
0.34343,4.5232,4.1683,4.2523,4.2919,4.2909
0.35354,4.5001,4.1497,4.2352,4.275,4.2518
0.36364,4.4769,4.1309,4.218,4.2579,4.2518
0.37374,4.4538,4.1121,4.2007,4.2407,4.2334
0.38384,4.4307,4.093,4.1829,4.223,4.2146
0.39394,4.4076,4.0737,4.1648,4.2048,4.1943
0.40404,4.3845,4.0544,4.1465,4.1866,4.1697
0.41414,4.3614,4.0349,4.1281,4.1682,4.1425
0.42424,4.3383,4.0152,4.1092,4.1491,4.1425
0.43434,4.3152,3.9953,4.0902,4.1301,4.1186
0.44444,4.2922,3.9753,4.0709,4.1106,4.0937
0.45455,4.2691,3.9552,4.0514,4.091,4.0937
0.46465,4.246,3.9348,4.0315,4.071,4.0552
0.47475,4.2229,3.9144,4.0116,4.0509,4.0347
0.48485,4.1998,3.8938,3.9913,4.0304,4.0126
0.49495,4.1768,3.873,3.9707,4.0097,4.0126
0.50505,4.1537,3.852,3.95,3.9887,3.9696
0.51515,4.1306,3.831,3.929,3.9675,3.9696
0.52525,4.1076,3.8098,3.9078,3.9462,3.9191
0.53535,4.0845,3.7883,3.8863,3.9244,3.9191
0.54545,4.0615,3.7669,3.8647,3.9025,3.9191
0.55556,4.0384,3.7452,3.8427,3.8803,3.8466
0.56566,4.0154,3.7233,3.8205,3.8578,3.8466
0.57576,3.9923,3.7014,3.7982,3.8352,3.815
0.58586,3.9693,3.6792,3.7755,3.8122,3.7992
0.59596,3.9462,3.6569,3.7527,3.789,3.77
0.60606,3.9232,3.6345,3.7296,3.7656,3.77
0.61616,3.9002,3.612,3.7064,3.7421,3.7282
0.62626,3.8771,3.5892,3.6828,3.718,3.7022
0.63636,3.8541,3.5664,3.6591,3.694,3.7022
0.64646,3.8311,3.5435,3.6352,3.6697,3.6439
0.65657,3.8081,3.5203,3.6109,3.645,3.6439
0.66667,3.7851,3.497,3.5865,3.6202,3.5922
0.67677,3.762,3.4735,3.5619,3.595,3.5922
0.68687,3.739,3.45,3.537,3.5697,3.5655
0.69697,3.716,3.4263,3.5119,3.5441,3.5405
0.70707,3.693,3.4024,3.4865,3.5182,3.5117
0.71717,3.67,3.3784,3.461,3.4921,3.4746
0.72727,3.647,3.3542,3.4351,3.4656,3.4508
0.73737,3.624,3.3299,3.4092,3.4391,3.4508
0.74747,3.601,3.3054,3.3827,3.4119,3.4131
0.75758,3.578,3.2808,3.3563,3.3848,3.3984
0.76768,3.555,3.256,3.3293,3.357,3.3595
0.77778,3.532,3.2311,3.3023,3.3292,3.3595
0.78788,3.509,3.206,3.2749,3.3009,3.2842
0.79798,3.4861,3.1808,3.2474,3.2725,3.2842
0.80808,3.4631,3.1554,3.2196,3.2436,3.2454
0.81818,3.4401,3.13,3.1915,3.2145,3.214
0.82828,3.4171,3.1042,3.1631,3.1849,3.1722
0.83838,3.3942,3.0784,3.1344,3.155,3.1573
0.84848,3.3712,3.0524,3.1055,3.1247,3.0947
0.85859,3.3482,3.0263,3.0763,3.0941,3.0947
0.86869,3.3253,3.0001,3.047,3.0634,3.0441
0.87879,3.3023,2.9736,3.0172,3.0319,3.0071
0.88889,3.2793,2.947,2.9872,3.0001,3.0071
0.89899,3.2564,2.9204,2.957,2.9681,2.9547
0.90909,3.2334,2.8934,2.9263,2.9354,2.9204
0.91919,3.2105,2.8664,2.8954,2.9023,2.8738
0.92929,3.1875,2.8391,2.8639,2.8685,2.8738
0.93939,3.1646,2.8117,2.8323,2.8344,2.8119
0.94949,3.1416,2.7841,2.8005,2.8,2.8119
0.9596,3.1187,2.7564,2.7683,2.7651,2.7436
0.9697,3.0958,2.7286,2.7359,2.7298,2.7436
0.9798,3.0728,2.7005,2.703,2.6938,2.656
0.9899,3.0499,2.6722,2.6698,2.6573,2.656
1,3.0269,2.644,2.6366,2.6208,2.6233
